app_id,name,release_date,release_year,developer,publisher,primary_genre,primary_category,platforms,is_free,price_usd,discount_pct,dlc_count,positive_reviews,negative_reviews,review_count,review_positive_rate,estimated_owners_low,estimated_owners_high,estimated_owners_mid,peak_ccu,average_playtime_forever_minutes,metacritic_score,achievements
496350,Supipara - Chapter 1 Spring Has Come!,2016-07-29,2016,minori,MangaGamer,Adventure,Single-player,Windows,false,5.24,65,0,252,3,255,0.9882,0,20000,10000,0,8,0,0
1034400,Mystery Solitaire The Black Raven,2019-05-06,2019,Somer Games,8floor,Casual,Single-player,"Windows, Mac",false,4.99,0,0,21,3,24,0.875,0,20000,10000,0,0,0,0
3292190,버튜버 파라노이아 - Vtuber Paranoia,2024-10-31,2024,유진게임즈,유진게임즈,Casual,Single-player,Windows,false,8.99,0,1,0,0,0,,0,20000,10000,1,0,0,19
3631080,Maze Quest VR,2025-04-24,2025,Reality Expanded LLC,Reality Expanded LLC,Action,Single-player,Windows,false,4.99,0,0,0,0,0,,0,20000,10000,0,0,0,0
1654170,Agony VR,2023-04-05,2023,Ignibit,Ignibit,Action,Single-player,Windows,false,13.99,0,0,0,0,0,,0,20000,10000,0,0,0,0
1934300,Armored Brigade II,2025-04-08,2025,Veitikka Studios,Matrix Games,Simulation,Single-player,Windows,false,35.99,10,1,117,13,130,0.9,0,20000,10000,8,675,0,0
700340,Galacatraz: Eject Equip Escape,2018-02-01,2018,Summer Bear Studio,Summer Bear Studio,Action,Single-player,Windows,false,0.99,0,0,0,0,0,,0,20000,10000,0,0,0,0
1157670,Hepta Beats,2021-05-07,2021,Matheus Bigatão,Matheus Bigatão,Casual,Single-player,Windows,false,0.99,0,0,28,4,32,0.875,0,20000,10000,0,0,0,9
1540330,MUMBA IV: Egypt Jewels,2021-12-13,2021,Airem,Airem,Action,Single-player,"Windows, Mac, Linux",false,0.59,0,1,19,6,25,0.76,0,20000,10000,1,0,0,100
1108640,OMNIMUS,2019-09-25,2019,Angry games,Total,Adventure,Single-player,"Windows, Mac, Linux",false,0.99,0,1,47,6,53,0.8868,0,20000,10000,0,0,0,0
1025440,Fantasy General II,2019-09-05,2019,Owned by Gravity,Slitherine Ltd.,Strategy,Single-player,Windows,false,13.99,0,4,1025,210,1235,0.83,100000,200000,150000,13,489,80,77
2113450,"Forests, Fields and Fortresses",2023-04-05,2023,9 Eyes Game Studio,9 Eyes Game Studio,Casual,Single-player,"Windows, Mac",false,1.49,70,0,64,2,66,0.9697,0,20000,10000,0,0,0,13
2922740,DogDogDog,2024-04-19,2024,LuuuLuuuL,LuuuLuuuL,Adventure,Single-player,Windows,false,1.35,66,0,34,10,44,0.7727,0,20000,10000,0,0,0,5
1282900,Bacon Quest - Lovers' Beef Special Edition,2020-04-29,2020,Witching Hour Entertainment LLC,Witching Hour Entertainment LLC,RPG,Single-player,"Windows, Mac",false,0.99,0,1,0,0,0,,0,20000,10000,0,0,0,0
2517090,Challenge from the Black Cat,2023-08-10,2023,ZENO,ZENO,Action,Single-player,Windows,false,1.4,0,0,2,0,2,1.0,0,20000,10000,0,0,0,12
328460,Redline,2014-10-23,2014,Accolade,Atari,Action,Single-player,Windows,false,1.04,0,0,74,35,109,0.6789,0,20000,10000,0,203,0,0
2260230,Midnight Dash,2023-01-09,2023,Saku Hållfast,Saku Hållfast,Action,Single-player,Windows,true,0.0,0,0,0,0,0,,0,0,0,0,0,0,17
2403000,Fantasy Amusement Park,2023-07-28,2023,Cat Paw Game,Shark Shark Game,Casual,Single-player,"Windows, Mac",false,5.99,0,0,0,0,0,,0,20000,10000,1,88,0,35
2713630,Black Market,2025-01-24,2025,Wani Games LLC,Wani Games LLC,Casual,Single-player,Windows,true,0.0,0,0,0,0,0,,0,0,0,0,0,0,0
1607040,Evertried,2021-10-21,2021,Lunic Games / Danilo Domingues,DANGEN Entertainment,Indie,Single-player,"Windows, Mac, Linux",false,5.99,0,1,55,14,69,0.7971,0,20000,10000,0,480,0,66
815170,Zombie World,2018-06-01,2018,M.R.Studio,M.R.Studio,Action,Single-player,Windows,false,7.99,0,0,0,4,4,0.0,0,20000,10000,0,0,0,21
2072070,RPG Plus - Virtual Tabletop,2024-02-14,2024,AppMinded,AppMinded,RPG,Multi-player,"Windows, Mac, Linux",true,0.0,0,0,0,0,0,,0,20000,10000,0,0,0,0
688420,Bad North: Jotunn Edition,2018-11-16,2018,Plausible Concept,Raw Fury,Action,Single-player,"Windows, Mac",false,2.99,80,1,11367,831,12198,0.9319,500000,1000000,750000,64,342,0,11
657010,Lucky Night: Texas Hold'em VR,2017-07-26,2017,ATC Games,ATC Games,Casual,Multi-player,Windows,true,0.0,0,0,144,35,179,0.8045,100000,200000,150000,0,111,0,0
3281190,They Yearn For The Mines,2024-12-04,2024,TheQuokkaBloke,TheQuokkaBloke,Action,Single-player,Windows,false,5.99,0,0,6,0,6,1.0,0,20000,10000,0,0,0,5
2260360,Zooblies,2023-01-16,2023,Jolly Crouton Media Ltd.,Jolly Crouton Media Ltd.,Action,Single-player,Windows,false,1.99,0,0,5,0,5,1.0,0,20000,10000,0,0,0,0
1514380,COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,2022-01-26,2022,Gemdrops,Gemdrops,Action,Single-player,Windows,false,12.49,0,3,75,34,109,0.6881,20000,50000,35000,0,0,0,39
